物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
ビレッジハウス西那須野1号棟 2階,https://suumo.jp/chintai/bc_100366018594/,https://img01.suumo.com/front/gazo/fr/bukken/594/100366018594/100366018594_rw.jpg,32000,-,2DK,39.83m2,南,マンション,築48年,栃木県那須塩原市下永田５,ＪＲ東北本線/西那須野駅 バス6分 (バス停)西幸町 歩1分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス足利葉鹿2号棟 5階,https://suumo.jp/chintai/bc_100379816674/,https://img01.suumo.com/front/gazo/fr/bukken/674/100379816674/100379816674_rw.jpg,32000,-,2DK,39.83m2,南,マンション,築47年,栃木県足利市葉鹿南町,ＪＲ両毛線/山前駅 バス4分 (バス停)足利市生活路線バス　大原神社前 歩9分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス烏山1号棟 4階,https://suumo.jp/chintai/bc_100377209241/,https://img01.suumo.com/front/gazo/fr/bukken/241/100377209241/100377209241_gw.jpg,32000,-,1LDK,39.83m2,南東,マンション,築46年,栃木県那須烏山市城東,ＪＲ烏山線/烏山駅 歩21分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス小林1号棟 3階,https://suumo.jp/chintai/bc_100379816671/,https://img01.suumo.com/front/gazo/fr/bukken/671/100379816671/100379816671_rw.jpg,32000,-,2K,33.51m2,南西,マンション,築53年,群馬県藤岡市小林,ＪＲ八高線/群馬藤岡駅 バス7分 (バス停)藤岡市バス　老人福祉センター 歩2分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス大泉1号棟 5階,https://suumo.jp/chintai/bc_100380383683/,https://img01.suumo.com/front/gazo/fr/bukken/683/100380383683/100380383683_rw.jpg,32000,-,2K,33.09m2,南,マンション,築54年,群馬県邑楽郡大泉町丘山,東武小泉線/西小泉駅 バス6分 (バス停)朝日バス　丘山住宅前 歩4分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス玉戸2号棟 5階,https://suumo.jp/chintai/bc_100381481856/,https://img01.suumo.com/front/gazo/fr/bukken/856/100381481856/100381481856_rw.jpg,32000,-,2K,33.09m2,南,マンション,築54年,茨城県筑西市玉戸,関東鉄道常総線/大田郷駅 歩6分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス古城2号棟 1階,https://suumo.jp/chintai/bc_100357870627/,https://img01.suumo.com/front/gazo/fr/bukken/627/100357870627/100357870627_rw.jpg,32000,-,2K,28.98m2,南,マンション,築56年,茨城県龍ヶ崎市古城,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩22分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東金井2号棟 3階,https://suumo.jp/chintai/bc_100259293401/,https://img01.suumo.com/front/gazo/fr/bukken/401/100259293401/100259293401_rw.jpg,32000,-,2K,28.98m2,南,マンション,築60年,群馬県太田市東金井町,東武伊勢崎線/韮川駅 バス1分 (バス停)太田市バス　安良岡町ゴールドタウン 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
アブニール 1階,https://suumo.jp/chintai/bc_100337032049/,https://img01.suumo.com/front/gazo/fr/bukken/049/100337032049/100337032049_gw.jpg,19000,6000円,ワンルーム,11.6m2,南東,アパート,築33年,神奈川県相模原市南区南台３,小田急小田原線/小田急相模原駅 歩7分,-,-,-,-,(株)リアルワン,03-5925-8782
フルハウス 2階,https://suumo.jp/chintai/bc_100372788101/,https://img01.suumo.com/front/gazo/fr/bukken/101/100372788101/100372788101_gw.jpg,19800,3000円,1K,18.21m2,南東,アパート,築42年,茨城県つくば市天久保２,つくばエクスプレス/つくば駅 歩25分,-,-,-,-,大和エステート(株)D-ROOMセンター,03-5908-0910
長沼 ワンルーム 2階,https://suumo.jp/chintai/bc_100379674996/,https://img01.suumo.com/front/gazo/fr/bukken/996/100379674996/100379674996_gw.jpg,20000,-,ワンルーム,8m2,北,アパート,築53年,東京都八王子市長沼町,京王線/長沼駅 歩10分,-,-,-,-,ルームフィット新宿店(株)ワンアワー,050-3595-4649
スカイピアさがみ野2C 1階,https://suumo.jp/chintai/bc_100374203103/,https://img01.suumo.com/front/gazo/fr/bukken/103/100374203103/100374203103_gw.jpg,20000,3000円,ワンルーム,13.5m2,南,アパート,築37年,神奈川県座間市東原３,相鉄本線/さがみ野駅 歩8分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート相模原イイハシ 4階,https://suumo.jp/chintai/bc_100375148911/,https://img01.suumo.com/front/gazo/fr/bukken/911/100375148911/100375148911_gw.jpg,20000,5500円,ワンルーム,15.61m2,南,マンション,築37年,神奈川県相模原市中央区清新８,ＪＲ横浜線/相模原駅 歩15分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート相模原イイハシ 4階,https://suumo.jp/chintai/bc_100375148916/,https://img01.suumo.com/front/gazo/fr/bukken/916/100375148916/100375148916_gw.jpg,20000,5500円,ワンルーム,15.6m2,東,マンション,築37年,神奈川県相模原市中央区清新８,ＪＲ横浜線/相模原駅 歩15分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート橋本第1 2階,https://suumo.jp/chintai/bc_100380249931/,https://img01.suumo.com/front/gazo/fr/bukken/931/100380249931/100380249931_gw.jpg,20000,6000円,ワンルーム,16m2,南,マンション,築36年,神奈川県相模原市緑区相原２,京王相模原線/橋本駅 歩20分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート相模原イイハシ 5階,https://suumo.jp/chintai/bc_100381494205/,https://img01.suumo.com/front/gazo/fr/bukken/205/100381494205/100381494205_gw.jpg,20500,5500円,ワンルーム,15.61m2,南,マンション,築37年,神奈川県相模原市中央区清新８,ＪＲ横浜線/相模原駅 歩15分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート橋本第1 2階,https://suumo.jp/chintai/bc_100379168823/,https://img01.suumo.com/front/gazo/fr/bukken/823/100379168823/100379168823_gw.jpg,22000,6000円,ワンルーム,16m2,南,マンション,築36年,神奈川県相模原市緑区相原２,京王相模原線/橋本駅 歩20分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
メゾン・ド・トレゾール 2階,https://suumo.jp/chintai/bc_100370939383/,https://img01.suumo.com/front/gazo/fr/bukken/383/100370939383/100370939383_gw.jpg,22000,6300円,ワンルーム,16.03m2,-,マンション,築37年,東京都青梅市東青梅２,ＪＲ青梅線/東青梅駅 歩2分,-,-,-,-,(株)ミルーム,0120-255877
トップ藤間 2階,https://suumo.jp/chintai/bc_100382029787/,https://img01.suumo.com/front/gazo/fr/bukken/787/100382029787/100382029787_rw.jpg,23000,-,ワンルーム,17m2,南西,アパート,築33年,埼玉県川越市大字藤間,東武東上線/上福岡駅 歩7分,-,-,-,-,(株)ミニミニ城西新宿店,03-3340-3210
トップ藤間 1階,https://suumo.jp/chintai/bc_100331785459/,https://img01.suumo.com/front/gazo/fr/bukken/459/100331785459/100331785459_gw.jpg,23000,2000円,ワンルーム,17m2,南西,アパート,築33年,埼玉県川越市大字藤間,東武東上線/上福岡駅 歩7分,-,-,-,-,(株)ミニミニ城西新宿店,03-3340-3210
スカイコート淵野辺第4 4階,https://suumo.jp/chintai/bc_100354711342/,https://img01.suumo.com/front/gazo/fr/bukken/342/100354711342/100354711342_gw.jpg,23000,6000円,ワンルーム,17.62m2,東,マンション,築37年,神奈川県相模原市中央区淵野辺本町３,ＪＲ横浜線/淵野辺駅 歩14分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
萩山 1K 2階,https://suumo.jp/chintai/bc_100375901729/,https://img01.suumo.com/front/gazo/fr/bukken/729/100375901729/100375901729_gw.jpg,24000,2000円,1K,17.39m2,-,アパート,築37年,東京都東村山市萩山町２,西武拝島線/萩山駅 歩6分,-,-,-,-,U-style 合同会社CheckPoint,03-5937-2388
ひざわ荘 2階,https://suumo.jp/chintai/bc_100378385035/,https://img01.suumo.com/front/gazo/fr/bukken/035/100378385035/100378385035_gw.jpg,25000,1700円,ワンルーム,9.72m2,東,アパート,築63年,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩6分,-,-,-,-,(株)吉住ホーム西新宿店,03-5331-8881
ストーンズ川角 2階,https://suumo.jp/chintai/bc_100379491394/,https://img01.suumo.com/front/gazo/fr/bukken/394/100379491394/100379491394_gw.jpg,25000,3000円,1K,21.5m2,-,アパート,築44年,埼玉県入間郡毛呂山町大字下川原,東武越生線/川角駅 歩9分,-,-,-,-,ココレア(株),03-6384-1212
西八王子 1K 1階,https://suumo.jp/chintai/bc_100377294265/,https://img01.suumo.com/front/gazo/fr/bukken/265/100377294265/100377294265_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)ixi高田馬場本店,03-5348-7838
ホワイトルーム 1階,https://suumo.jp/chintai/bc_100377337560/,https://img01.suumo.com/front/gazo/fr/bukken/560/100377337560/100377337560_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)ixi高田馬場本店,03-5348-7838
ホワイトルーム 1階,https://suumo.jp/chintai/bc_100377270384/,https://img01.suumo.com/front/gazo/fr/bukken/384/100377270384/100377270384_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)we link,03-5909-0088
西八王子 1K 1階,https://suumo.jp/chintai/bc_100377269704/,https://img01.suumo.com/front/gazo/fr/bukken/704/100377269704/100377269704_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)EXIA,03-6826-6181
西八王子 1K 1階,https://suumo.jp/chintai/bc_100377269706/,https://img01.suumo.com/front/gazo/fr/bukken/706/100377269706/100377269706_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)EXIA,03-6826-6181
西八王子 1K 1階,https://suumo.jp/chintai/bc_100377269466/,https://img01.suumo.com/front/gazo/fr/bukken/466/100377269466/100377269466_gw.jpg,25000,3000円,1K,17.35m2,-,アパート,築45年,東京都八王子市台町２,ＪＲ中央線/西八王子駅 歩13分,-,-,-,-,(株)ixi新宿店,03-5909-0102
生田 ワンルーム 2階,https://suumo.jp/chintai/bc_100372762629/,https://img01.suumo.com/front/gazo/fr/bukken/629/100372762629/100372762629_rw.jpg,25000,3000円,ワンルーム,16.6m2,南,マンション,築35年,神奈川県川崎市多摩区南生田７,小田急線/生田駅 歩15分,2.5万円,-,-,2.5万円,ハウスガレージ新宿店(株)TreCheer,03-5337-7888
東十条 ワンルーム 1階,https://suumo.jp/chintai/bc_100334592073/,https://img01.suumo.com/front/gazo/fr/bukken/073/100334592073/100334592073_gw.jpg,25000,3000円,ワンルーム,9.84m2,-,アパート,築69年,東京都北区岸町２,ＪＲ京浜東北線/東十条駅 歩4分,2.5万円,-,-,-,アパマンショップ新宿東南口店(株)アップル東京,03-5312-7331
富駒荘 2階,https://suumo.jp/chintai/bc_100379054123/,https://img01.suumo.com/front/gazo/fr/bukken/123/100379054123/100379054123_gw.jpg,25000,5000円,ワンルーム,12m2,-,アパート,築60年,東京都中野区上高田４,西武新宿線/中井駅 歩10分,-,-,-,-,(株)金葉マネジメント本店,03-6457-4422
落合 1K 2階,https://suumo.jp/chintai/bc_100381401503/,https://img01.suumo.com/front/gazo/fr/bukken/503/100381401503/100381401503_rw.jpg,25000,5000円,1K,12m2,南,アパート,築51年,東京都中野区上高田４,東京メトロ東西線/落合駅 歩10分,-,-,-,-,ハウスガレージ新宿店(株)TreCheer,03-5337-7888
スカイコート八王子第2 1階,https://suumo.jp/chintai/bc_100370648684/,https://img01.suumo.com/front/gazo/fr/bukken/684/100370648684/100370648684_gw.jpg,25500,6500円,ワンルーム,18.09m2,東,マンション,築34年,東京都八王子市台町３,京王高尾線/山田駅 歩12分,2.55万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
ときわ荘 1階,https://suumo.jp/chintai/bc_100013508145/,https://img01.suumo.com/front/gazo/fr/bukken/145/100013508145/100013508145_gw.jpg,26000,1500円,1K,12.39m2,南,アパート,築55年,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩8分,-,1.3万円,-,-,(有)さくらプランニング,03-3365-2337
西八王子 1K 1階,https://suumo.jp/chintai/bc_100363906154/,https://img01.suumo.com/front/gazo/fr/bukken/154/100363906154/100363906154_gw.jpg,26000,2000円,1K,17.39m2,南西,アパート,築38年,東京都八王子市散田町３,ＪＲ中央線/西八王子駅 歩6分,2.6万円,-,-,-,(株)アイクル,03-3368-2711
サウスコートふじみ野 1階,https://suumo.jp/chintai/bc_100378193871/,https://img01.suumo.com/front/gazo/fr/bukken/871/100378193871/100378193871_gw.jpg,26000,2000円,ワンルーム,17.35m2,南西,アパート,築37年,埼玉県ふじみ野市南台２,東武東上線/上福岡駅 歩10分,-,-,-,-,(株)リッチロード,03-6258-1024
ライフピア久米川 1階,https://suumo.jp/chintai/bc_100271185951/,https://img01.suumo.com/front/gazo/fr/bukken/951/100271185951/100271185951_gw.jpg,26000,2000円,1K,11.12m2,南,アパート,築37年,東京都東村山市本町１,西武新宿線/久米川駅 歩9分,-,-,-,-,(株)木下の賃貸 多摩エリア,0120-004-338
エポック伊勢原 1階,https://suumo.jp/chintai/bc_100368160177/,https://img01.suumo.com/front/gazo/fr/bukken/177/100368160177/100368160177_gw.jpg,26000,3000円,1K,17.94m2,南,アパート,築36年,神奈川県伊勢原市沼目４,小田急小田原線/伊勢原駅 バス5分 (バス停)つきみの団地 歩5分,-,-,-,-,(株)アートアベニュー,050-1750-5656
スカイコート八王子第2 3階,https://suumo.jp/chintai/bc_100372437813/,https://img01.suumo.com/front/gazo/fr/bukken/813/100372437813/100372437813_gw.jpg,26500,6500円,ワンルーム,18.09m2,東,マンション,築34年,東京都八王子市台町３,京王高尾線/山田駅 歩12分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
狭山グリーンハイツ 3階,https://suumo.jp/chintai/bc_000082171541/,https://img01.suumo.com/front/gazo/fr/bukken/541/82171541/82171541_rw.jpg,27000,3000円,ワンルーム,16.56m2,南東,マンション,築31年,埼玉県狭山市富士見１,西武新宿線/狭山市駅 歩8分,-,-,-,-,(株)富士建設工業新宿支店フジケンマンションセンター,03-3369-3737
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100349058361/,https://img01.suumo.com/front/gazo/fr/bukken/361/100349058361/100349058361_gw.jpg,27000,3000円,1K,15.21m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100348725152/,https://img01.suumo.com/front/gazo/fr/bukken/152/100348725152/100348725152_gw.jpg,27000,3000円,1K,15.21m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
パレス清瀬α 1階,https://suumo.jp/chintai/bc_100348676632/,https://img01.suumo.com/front/gazo/fr/bukken/632/100348676632/100348676632_gw.jpg,27000,3000円,1K,13.32m2,南西,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100349058410/,https://img01.suumo.com/front/gazo/fr/bukken/410/100349058410/100349058410_gw.jpg,27000,3000円,1K,13.32m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
パレス清瀬α 2階,https://suumo.jp/chintai/bc_100349058254/,https://img01.suumo.com/front/gazo/fr/bukken/254/100349058254/100349058254_gw.jpg,27000,3000円,1K,13.32m2,南西,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
パレス清瀬α 2階,https://suumo.jp/chintai/bc_100348724887/,https://img01.suumo.com/front/gazo/fr/bukken/887/100348724887/100348724887_gw.jpg,27000,3000円,1K,13.32m2,南西,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
パレス清瀬α 1階,https://suumo.jp/chintai/bc_100349199705/,https://img01.suumo.com/front/gazo/fr/bukken/705/100349199705/100349199705_gw.jpg,27000,3000円,1K,13.32m2,南西,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100348725396/,https://img01.suumo.com/front/gazo/fr/bukken/396/100348725396/100348725396_gw.jpg,27000,3000円,1K,13.32m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100349058231/,https://img01.suumo.com/front/gazo/fr/bukken/231/100349058231/100349058231_gw.jpg,27000,3000円,1K,13.32m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
パレス清瀬β 1階,https://suumo.jp/chintai/bc_100348724334/,https://img01.suumo.com/front/gazo/fr/bukken/334/100348724334/100348724334_gw.jpg,27000,3000円,1K,13.32m2,北東,アパート,築38年,東京都清瀬市松山２,西武池袋線/清瀬駅 歩9分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
レクエルド相南 2階,https://suumo.jp/chintai/bc_100374979709/,https://img01.suumo.com/front/gazo/fr/bukken/709/100374979709/100374979709_gw.jpg,27000,3000円,1K,13.25m2,南西,アパート,築33年,神奈川県相模原市南区相南３,小田急小田原線/小田急相模原駅 歩13分,-,-,-,-,(株)エイトハウス,03-5332-6882
ビューハイム薬師町 2階,https://suumo.jp/chintai/bc_100003322339/,https://img01.suumo.com/front/gazo/fr/bukken/339/100003322339/100003322339_rw.jpg,27000,3500円,1K,19.88m2,東,マンション,築32年,埼玉県坂戸市薬師町,東武東上線/北坂戸駅 歩2分,-,-,-,-,(株)富士建設工業新宿支店フジケンマンションセンター,03-3369-3737
メゾン・ド・オンブラージュ 1階,https://suumo.jp/chintai/bc_100373782855/,https://img01.suumo.com/front/gazo/fr/bukken/855/100373782855/100373782855_gw.jpg,27000,4100円,1K,16.47m2,南,マンション,築34年,東京都八王子市北野町,ＪＲ中央線/八王子駅 歩15分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
メゾン・ド・オンブラージュ 1階,https://suumo.jp/chintai/bc_100380724834/,https://img01.suumo.com/front/gazo/fr/bukken/834/100380724834/100380724834_gw.jpg,27000,4100円,1K,16.47m2,南,マンション,築34年,東京都八王子市北野町,ＪＲ中央線/八王子駅 歩15分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
セントヒルズ一ツ橋学園 4階,https://suumo.jp/chintai/bc_100174577539/,https://img01.suumo.com/front/gazo/fr/bukken/539/100174577539/100174577539_gw.jpg,27000,6000円,ワンルーム,16.12m2,東,マンション,築38年,東京都小平市上水本町４,西武多摩湖線/一橋学園駅 歩11分,2.7万円,2.7万円,-,-,お部屋探し情報館(株)エーアイアール新宿店,0120-828008
一橋学園 ワンルーム 4階,https://suumo.jp/chintai/bc_100364906061/,https://img01.suumo.com/front/gazo/fr/bukken/061/100364906061/100364906061_1w.jpg,27000,6000円,ワンルーム,16.12m2,東,マンション,築38年,東京都小平市上水本町４,西武多摩湖線/一橋学園駅 歩11分,2.7万円,2.7万円,-,-,(株)FINDERS,03-6871-8516
スカイコート八王子第3 3階,https://suumo.jp/chintai/bc_100376186300/,https://img01.suumo.com/front/gazo/fr/bukken/300/100376186300/100376186300_gw.jpg,27500,5500円,ワンルーム,15.96m2,東,マンション,築34年,東京都日野市旭が丘２,ＪＲ中央線/豊田駅 歩17分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート八王子第3 2階,https://suumo.jp/chintai/bc_100375300744/,https://img01.suumo.com/front/gazo/fr/bukken/744/100375300744/100375300744_gw.jpg,27500,5500円,ワンルーム,15.95m2,東,マンション,築34年,東京都日野市旭が丘２,ＪＲ中央線/豊田駅 歩16分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
京王多摩センター 1K 2階,https://suumo.jp/chintai/bc_100006734152/,https://img01.suumo.com/front/gazo/fr/bukken/152/100006734152/100006734152_gw.jpg,28000,2000円,1K,17.52m2,南,アパート,築38年,東京都八王子市大塚,京王相模原線/京王多摩センター駅 歩15分,2.8万円,-,-,-,(株)アイクル,03-3368-2711
ＴＡＫＥハイツ 2階,https://suumo.jp/chintai/bc_100371693376/,https://img01.suumo.com/front/gazo/fr/bukken/376/100371693376/100371693376_cw.jpg,28000,2000円,1K,17.39m2,-,アパート,築32年,神奈川県相模原市南区古淵３,ＪＲ横浜線/古淵駅 歩12分,2.8万円,-,-,-,(株)アイクル,03-3368-2711
八千代台 1K 2階,https://suumo.jp/chintai/bc_100367280824/,https://img01.suumo.com/front/gazo/fr/bukken/824/100367280824/100367280824_gw.jpg,28000,2000円,1K,16.94m2,-,アパート,築36年,千葉県八千代市八千代台南３,京成本線/八千代台駅 歩10分,-,-,-,-,アパマンショップ新宿東南口店(株)アップル東京,03-5312-7331
サニーヒルズ弘明寺II 2階,https://suumo.jp/chintai/bc_100377140768/,https://img01.suumo.com/front/gazo/fr/bukken/768/100377140768/100377140768_gw.jpg,28000,2000円,ワンルーム,13m2,-,アパート,築34年,神奈川県横浜市南区大岡１,ブルーライン/弘明寺駅 歩11分,-,-,-,-,(株)ixi高田馬場本店,03-5348-7838
クィーンシップ上大岡II 1階,https://suumo.jp/chintai/bc_100372191844/,https://img01.suumo.com/front/gazo/fr/bukken/844/100372191844/100372191844_gw.jpg,28000,2000円,ワンルーム,12.37m2,-,アパート,築37年,神奈川県横浜市港南区大久保３,京急本線/上大岡駅 歩17分,-,-,-,-,ココレア(株),03-6384-1212
ストーンズ川角 2階,https://suumo.jp/chintai/bc_100379364679/,https://img01.suumo.com/front/gazo/fr/bukken/679/100379364679/100379364679_gw.jpg,28000,3000円,1K,21.5m2,-,アパート,築44年,埼玉県入間郡毛呂山町大字下川原,東武越生線/川角駅 歩9分,-,-,-,-,ココレア(株),03-6384-1212
アルカディア二宮I 1階,https://suumo.jp/chintai/bc_100380724934/,https://img01.suumo.com/front/gazo/fr/bukken/934/100380724934/100380724934_gw.jpg,28000,3000円,1K,16.2m2,東,アパート,築34年,東京都あきる野市二宮東１,ＪＲ五日市線/東秋留駅 歩22分,-,-,-,-,アパマンショップ飯田橋店Apaman Property(株),03-5206-8657
アルカディア二宮I 1階,https://suumo.jp/chintai/bc_100380643567/,https://img01.suumo.com/front/gazo/fr/bukken/567/100380643567/100380643567_gw.jpg,28000,3000円,1K,16.2m2,東,アパート,築34年,東京都あきる野市二宮東１,ＪＲ五日市線/東秋留駅 歩22分,-,-,-,-,アパマンショップ新宿東口店Apaman Property(株),03-5312-2623
明大前 ワンルーム 2階,https://suumo.jp/chintai/bc_100357012691/,https://img01.suumo.com/front/gazo/fr/bukken/691/100357012691/100357012691_gw.jpg,28000,3000円,ワンルーム,9.72m2,南,アパート,築65年,東京都杉並区和泉１,京王線/明大前駅 歩13分,-,-,-,-,ハウスコム東東京(株)新宿店,0800-1707822
サンホワイトN 1階,https://suumo.jp/chintai/bc_100364650077/,https://img01.suumo.com/front/gazo/fr/bukken/077/100364650077/100364650077_gw.jpg,28000,5000円,ワンルーム,17.82m2,南,アパート,築36年,東京都日野市西平山３,京王線/長沼駅 歩7分,-,-,-,-,相互トラスト(株),03-6709-9783
サンホワイトN 1階,https://suumo.jp/chintai/bc_100332278049/,https://img01.suumo.com/front/gazo/fr/bukken/049/100332278049/100332278049_gw.jpg,28000,5000円,ワンルーム,17.82m2,南,アパート,築36年,東京都日野市西平山３,京王線/長沼駅 歩7分,-,-,-,-,相互トラスト(株),03-6709-9783
スカイコート大和 8階,https://suumo.jp/chintai/bc_100379738960/,https://img01.suumo.com/front/gazo/fr/bukken/960/100379738960/100379738960_gw.jpg,28000,5000円,1K,16.94m2,南,マンション,築38年,神奈川県大和市大和東２,小田急江ノ島線/大和駅 歩4分,4万円,2.8万円,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート八王子第3 5階,https://suumo.jp/chintai/bc_100356581936/,https://img01.suumo.com/front/gazo/fr/bukken/936/100356581936/100356581936_gw.jpg,28000,5500円,ワンルーム,15.95m2,東,マンション,築34年,東京都日野市旭が丘２,ＪＲ中央線/豊田駅 歩16分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
ジュネパレス松戸第62 2階,https://suumo.jp/chintai/bc_100380877182/,https://img01.suumo.com/front/gazo/fr/bukken/182/100380877182/100380877182_gw.jpg,28000,6000円,1K,17.38m2,南,アパート,築38年,千葉県松戸市東平賀,ＪＲ常磐線/北小金駅 歩11分,-,-,-,-,(株)リッチロード,03-6258-1024
スカイコート星川 1階,https://suumo.jp/chintai/bc_100371940068/,https://img01.suumo.com/front/gazo/fr/bukken/068/100371940068/100371940068_gw.jpg,28000,6000円,ワンルーム,14.64m2,西,マンション,築38年,神奈川県横浜市保土ヶ谷区星川３,相鉄本線/和田町駅 歩2分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
スカイコート保土ヶ谷 2階,https://suumo.jp/chintai/bc_100376911741/,https://img01.suumo.com/front/gazo/fr/bukken/741/100376911741/100376911741_gw.jpg,28000,10000円,ワンルーム,16.2m2,北,マンション,築35年,神奈川県横浜市保土ヶ谷区瀬戸ケ谷町,湘南新宿ライン宇須/保土ケ谷駅 歩9分,-,-,-,-,(株)リアルワン,03-5925-8782
グリーンプラザ　B 1階,https://suumo.jp/chintai/bc_100372488009/,https://img01.suumo.com/front/gazo/fr/bukken/009/100372488009/100372488009_gw.jpg,28500,3500円,ワンルーム,18.63m2,南,アパート,築33年,千葉県我孫子市柴崎台２,ＪＲ常磐線/天王台駅 歩5分,-,2万円,-,-,大和エステート(株)D-ROOMセンター,03-5908-0910
スカイコート八王子第3 3階,https://suumo.jp/chintai/bc_100374753617/,https://img01.suumo.com/front/gazo/fr/bukken/617/100374753617/100374753617_gw.jpg,28500,5500円,ワンルーム,15.95m2,東,マンション,築34年,東京都日野市旭が丘２,ＪＲ中央線/豊田駅 歩17分,4万円,-,-,-,スカイコート賃貸センター(株)新宿店,0120-777-388
